"","id","Name","Name_english","Height","Weight","HP","Attack","Defense","SpAttack","SpDefense","Speed","Total","capture_rate","base_happiness","Type","Type1","Type2","habitat","color","shape","growth_rate","gender_rate","has_gender_differences","is_baby","forms_switchable","LastEvolution","evolves_from_species_id","evolution_chain_id","generation_id","hatch_counter","conquest_order"
"Pyroli",136,"Pyroli","flareon",0.89,25,65,130,60,95,110,65,525,45,70,"Fire","Fire",NA,"urban","red","quadruped","medium","1","0","0","0",TRUE,133,67,"1",35,4
"Porygon",137,"Porygon","porygon",0.79,36.5,65,60,70,85,75,40,395,45,70,"Normal","Normal",NA,"urban","pink","legs","medium","-1","0","0","0",FALSE,NA,68,"1",20,NA
"Amonita",138,"Amonita","omanyte",0.41,7.5,35,40,100,90,55,35,355,45,70,"Rock~Water","Rock","Water","sea","blue","tentacles","medium","1","0","0","0",FALSE,NA,69,"1",30,NA
"Amonistar",139,"Amonistar","omastar",0.99,35,70,60,125,115,70,55,495,45,70,"Rock~Water","Rock","Water","sea","blue","tentacles","medium","1","0","0","0",TRUE,138,69,"1",30,NA
"Kabuto",140,"Kabuto","kabuto",0.51,11.5,30,80,90,55,45,55,355,45,70,"Rock~Water","Rock","Water","sea","brown","armor","medium","1","0","0","0",FALSE,NA,70,"1",30,NA
"Kabutops",141,"Kabutops","kabutops",1.3,40.5,60,115,105,65,70,80,495,45,70,"Rock~Water","Rock","Water","sea","brown","upright","medium","1","0","0","0",TRUE,140,70,"1",30,NA
"Ptéra",142,"Ptéra","aerodactyl",1.8,59,80,105,65,60,75,130,515,45,70,"Rock~Flying","Rock","Flying","mountain","purple","wings","slow","1","0","0","0",TRUE,NA,71,"1",35,NA
"Ronflex",143,"Ronflex","snorlax",2.11,460,160,110,65,65,110,30,540,25,70,"Normal","Normal",NA,"mountain","black","humanoid","slow","1","0","0","0",TRUE,446,72,"1",40,179
"Artikodin",144,"Artikodin","articuno",1.7,55.4,90,85,100,95,125,85,580,3,35,"Ice~Flying","Ice","Flying","rare","blue","wings","slow","-1","0","0","0",TRUE,NA,73,"1",80,192
"Électhor",145,"Électhor","zapdos",1.6,52.6,90,90,85,125,90,100,580,3,35,"Electric~Flying","Electric","Flying","rare","yellow","wings","slow","-1","0","0","0",TRUE,NA,74,"1",80,NA
"Sulfura",146,"Sulfura","moltres",2.01,60,90,100,90,125,85,90,580,3,35,"Fire~Flying","Fire","Flying","rare","yellow","wings","slow","-1","0","0","0",TRUE,NA,75,"1",80,NA
"Minidraco",147,"Minidraco","dratini",1.8,3.3,41,64,45,50,50,50,300,45,35,"Dragon","Dragon",NA,"waters-edge","blue","squiggle","slow","4","0","0","0",FALSE,NA,76,"1",40,76
"Draco",148,"Draco","dragonair",3.99,16.5,61,84,65,70,70,70,420,45,35,"Dragon","Dragon",NA,"waters-edge","blue","squiggle","slow","4","0","0","0",FALSE,147,76,"1",40,77
"Dracolosse",149,"Dracolosse","dragonite",2.21,210,91,134,95,100,100,80,600,45,35,"Dragon~Flying","Dragon","Flying","waters-edge","brown","upright","slow","4","0","0","0",TRUE,148,76,"1",40,78
"Mewtwo",150,"Mewtwo","mewtwo",2.01,122,106,110,90,154,90,130,680,3,0,"Psychic","Psychic",NA,"rare","purple","upright","slow","-1","0","0","0",TRUE,NA,77,"1",120,196
"Mew",151,"Mew","mew",0.41,4,100,100,100,100,100,100,600,45,100,"Psychic","Psychic",NA,"rare","pink","upright","medium-slow","-1","0","0","0",TRUE,NA,78,"1",120,NA
"Germignon",152,"Germignon","chikorita",0.89,6.4,45,49,65,49,65,45,318,45,70,"Grass","Grass",NA,"grassland","green","quadruped","medium-slow","1","0","0","0",FALSE,NA,79,"2",20,NA
"Macronium",153,"Macronium","bayleef",1.19,15.8,60,62,80,63,80,60,405,45,70,"Grass","Grass",NA,"grassland","green","quadruped","medium-slow","1","0","0","0",FALSE,152,79,"2",20,NA
"Méganium",154,"Méganium","meganium",1.8,100.5,80,82,100,83,100,80,525,45,70,"Grass","Grass",NA,"grassland","green","quadruped","medium-slow","1","1","0","0",TRUE,153,79,"2",20,NA
"Héricendre",155,"Héricendre","cyndaquil",0.51,7.9,39,52,43,60,50,65,309,45,70,"Fire","Fire",NA,"grassland","yellow","humanoid","medium-slow","1","0","0","0",FALSE,NA,80,"2",20,NA
"Feurisson",156,"Feurisson","quilava",0.89,19,58,64,58,80,65,80,405,45,70,"Fire","Fire",NA,"grassland","yellow","quadruped","medium-slow","1","0","0","0",FALSE,155,80,"2",20,NA
"Typhlosion",157,"Typhlosion","typhlosion",1.7,79.5,78,84,78,109,85,100,534,45,70,"Fire","Fire",NA,"grassland","yellow","quadruped","medium-slow","1","0","0","0",TRUE,156,80,"2",20,NA
"Kaiminus",158,"Kaiminus","totodile",0.61,9.5,50,65,64,44,48,43,314,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",FALSE,NA,81,"2",20,NA
"Crocrodil",159,"Crocrodil","croconaw",1.09,25,65,80,80,59,63,58,405,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",FALSE,158,81,"2",20,NA
"Aligatueur",160,"Aligatueur","feraligatr",2.31,88.8,85,105,100,79,83,78,530,45,70,"Water","Water",NA,"waters-edge","blue","upright","medium-slow","1","0","0","0",TRUE,159,81,"2",20,NA
"Fouinette",161,"Fouinette","sentret",0.79,6,35,46,34,35,45,20,215,255,70,"Normal","Normal",NA,"grassland","brown","quadruped","medium","4","0","0","0",FALSE,NA,82,"2",15,NA
"Fouinar",162,"Fouinar","furret",1.8,32.5,85,76,64,45,55,90,415,90,70,"Normal","Normal",NA,"grassland","brown","quadruped","medium","4","0","0","0",TRUE,161,82,"2",15,NA
"Hoothoot",163,"Hoothoot","hoothoot",0.71,21.2,60,30,30,36,56,50,262,255,70,"Normal~Flying","Normal","Flying","forest","brown","wings","medium","4","0","0","0",FALSE,NA,83,"2",15,NA
"Noarfang",164,"Noarfang","noctowl",1.6,40.8,100,50,50,76,96,70,442,90,70,"Normal~Flying","Normal","Flying","forest","brown","wings","medium","4","0","0","0",TRUE,163,83,"2",15,NA
"Coxy",165,"Coxy","ledyba",0.99,10.8,40,20,30,40,80,55,265,255,70,"Bug~Flying","Bug","Flying","forest","red","wings","fast","4","1","0","0",FALSE,NA,84,"2",15,NA
"Coxyclaque",166,"Coxyclaque","ledian",1.4,35.6,55,35,50,55,110,85,390,90,70,"Bug~Flying","Bug","Flying","forest","red","wings","fast","4","1","0","0",TRUE,165,84,"2",15,NA
"Mimigal",167,"Mimigal","spinarak",0.51,8.5,40,60,40,40,40,30,250,255,70,"Bug~Poison","Bug","Poison","forest","green","armor","fast","4","0","0","0",FALSE,NA,85,"2",15,NA
"Migalos",168,"Migalos","ariados",1.09,33.5,70,90,70,60,60,40,390,90,70,"Bug~Poison","Bug","Poison","forest","red","armor","fast","4","0","0","0",TRUE,167,85,"2",15,NA
"Nostenfer",169,"Nostenfer","crobat",1.8,75,85,90,80,70,80,130,535,90,70,"Poison~Flying","Poison","Flying","cave","purple","bug-wings","medium","4","0","0","0",TRUE,42,17,"2",15,25
"Loupio",170,"Loupio","chinchou",0.51,12,75,38,38,56,56,67,330,190,70,"Water~Electric","Water","Electric","sea","blue","fish","slow","4","0","0","0",FALSE,NA,86,"2",20,NA
"Lanturn",171,"Lanturn","lanturn",1.19,22.5,125,58,58,76,76,67,460,75,70,"Water~Electric","Water","Electric","sea","blue","fish","slow","4","0","0","0",TRUE,170,86,"2",20,NA
"Pichu",172,"Pichu","pichu",0.3,2,20,40,15,35,35,60,205,190,70,"Electric","Electric",NA,"forest","yellow","quadruped","medium","4","0","1","0",FALSE,NA,10,"2",10,15
"Mélo",173,"Mélo","cleffa",0.3,3,50,25,28,45,55,15,218,150,140,"Fairy","Fairy",NA,"mountain","pink","upright","fast","6","0","1","0",FALSE,NA,14,"2",10,NA
"Toudoudou",174,"Toudoudou","igglybuff",0.3,1,90,30,15,40,20,15,210,170,70,"Normal~Fairy","Normal","Fairy","grassland","pink","humanoid","fast","6","0","1","0",FALSE,NA,16,"2",10,20
"Togepi",175,"Togepi","togepi",0.3,1.5,35,20,65,40,65,20,245,190,70,"Fairy","Fairy",NA,"forest","white","humanoid","fast","1","0","1","0",FALSE,NA,87,"2",10,NA
"Togetic",176,"Togetic","togetic",0.61,3.2,55,40,85,80,105,40,405,75,70,"Fairy~Flying","Fairy","Flying","forest","white","humanoid","fast","1","0","0","0",FALSE,175,87,"2",10,NA
"Natu",177,"Natu","natu",0.2,2,40,50,45,70,45,70,320,190,70,"Psychic~Flying","Psychic","Flying","forest","green","wings","medium","4","0","0","0",FALSE,NA,88,"2",20,NA
"Xatu",178,"Xatu","xatu",1.5,15,65,75,70,95,70,95,470,75,70,"Psychic~Flying","Psychic","Flying","forest","green","wings","medium","4","1","0","0",TRUE,177,88,"2",20,NA
"Wattouat",179,"Wattouat","mareep",0.61,7.8,55,40,40,65,45,35,280,235,70,"Electric","Electric",NA,"grassland","white","quadruped","medium-slow","4","0","0","0",FALSE,NA,89,"2",20,45
"Lainergie",180,"Lainergie","flaaffy",0.79,13.3,70,55,55,80,60,45,365,120,70,"Electric","Electric",NA,"grassland","pink","upright","medium-slow","4","0","0","0",FALSE,179,89,"2",20,46
"Pharamp",181,"Pharamp","ampharos",1.4,61.5,90,75,75,115,90,55,500,45,70,"Electric","Electric",NA,"grassland","yellow","upright","medium-slow","4","0","0","0",TRUE,180,89,"2",20,47
"Joliflor",182,"Joliflor","bellossom",0.41,5.8,75,80,85,90,100,50,480,45,70,"Grass","Grass",NA,"grassland","green","humanoid","medium-slow","4","0","0","0",TRUE,44,18,"2",20,NA
"Marill",183,"Marill","marill",0.41,8.5,70,20,50,20,50,40,250,190,70,"Water~Fairy","Water","Fairy","waters-edge","blue","upright","fast","4","0","0","0",FALSE,298,90,"2",10,NA
"Azumarill",184,"Azumarill","azumarill",0.79,28.5,100,50,80,50,80,50,410,75,70,"Water~Fairy","Water","Fairy","waters-edge","blue","upright","fast","4","0","0","0",TRUE,183,90,"2",10,NA
"Simularbre",185,"Simularbre","sudowoodo",1.19,38,70,100,115,30,65,30,410,65,70,"Rock","Rock",NA,"forest","brown","humanoid","medium","4","1","0","0",TRUE,438,91,"2",20,NA
"Tarpaud",186,"Tarpaud","politoed",1.09,33.9,90,75,75,90,100,70,500,45,70,"Water","Water",NA,"waters-edge","green","humanoid","medium-slow","4","1","0","0",TRUE,61,26,"2",20,NA
"Granivol",187,"Granivol","hoppip",0.41,0.5,35,35,40,35,55,50,250,255,70,"Grass~Flying","Grass","Flying","grassland","pink","upright","medium-slow","4","0","0","0",FALSE,NA,92,"2",20,NA
"Floravol",188,"Floravol","skiploom",0.61,1,55,45,50,45,65,80,340,120,70,"Grass~Flying","Grass","Flying","grassland","green","upright","medium-slow","4","0","0","0",FALSE,187,92,"2",20,NA
"Cotovol",189,"Cotovol","jumpluff",0.79,3,75,55,70,55,85,110,450,45,70,"Grass~Flying","Grass","Flying","grassland","blue","upright","medium-slow","4","0","0","0",TRUE,188,92,"2",20,NA
"Capumain",190,"Capumain","aipom",0.79,11.5,55,70,55,40,55,85,360,45,70,"Normal","Normal",NA,"forest","purple","upright","fast","4","1","0","0",FALSE,NA,93,"2",20,NA
"Tournegrin",191,"Tournegrin","sunkern",0.3,1.8,30,30,30,30,30,30,180,235,70,"Grass","Grass",NA,"grassland","yellow","ball","medium-slow","4","0","0","0",FALSE,NA,94,"2",20,NA
"Héliatronc",192,"Héliatronc","sunflora",0.79,8.5,75,75,55,105,85,30,425,120,70,"Grass","Grass",NA,"grassland","yellow","humanoid","medium-slow","4","0","0","0",TRUE,191,94,"2",20,NA
"Yanma",193,"Yanma","yanma",1.19,38,65,65,45,75,45,95,390,75,70,"Bug~Flying","Bug","Flying","forest","red","bug-wings","medium","4","0","0","0",FALSE,NA,95,"2",20,NA
"Axoloto",194,"Axoloto","wooper",0.41,8.5,55,45,45,25,25,15,210,255,70,"Water~Ground","Water","Ground","waters-edge","blue","legs","medium","4","1","0","0",FALSE,NA,96,"2",20,18
"Maraiste",195,"Maraiste","quagsire",1.4,75,95,85,85,65,65,35,430,90,70,"Water~Ground","Water","Ground","waters-edge","blue","upright","medium","4","1","0","0",TRUE,194,96,"2",20,19
"Mentali",196,"Mentali","espeon",0.89,26.5,65,65,60,130,95,110,525,45,70,"Psychic","Psychic",NA,"urban","purple","quadruped","medium","1","0","0","0",TRUE,133,67,"2",35,5
"Noctali",197,"Noctali","umbreon",0.99,27,95,65,110,60,130,65,525,45,35,"Dark","Dark",NA,"urban","black","quadruped","medium","1","0","0","0",TRUE,133,67,"2",35,6
"Cornèbre",198,"Cornèbre","murkrow",0.51,2.1,60,85,42,85,42,91,405,30,35,"Dark~Flying","Dark","Flying","forest","black","wings","medium-slow","4","1","0","0",FALSE,NA,97,"2",20,NA
"Roigada",199,"Roigada","slowking",2.01,79.5,95,75,80,100,110,30,490,70,70,"Water~Psychic","Water","Psychic","waters-edge","pink","upright","medium","4","0","0","0",TRUE,79,33,"2",20,NA
"Feuforêve",200,"Feuforêve","misdreavus",0.71,1,60,60,60,85,85,85,435,45,35,"Ghost","Ghost",NA,"cave","gray","ball","fast","4","0","0","0",FALSE,NA,98,"2",25,183
"Zarbi",201,"Zarbi","unown",0.51,5,48,72,48,72,48,48,336,225,70,"Psychic","Psychic",NA,"rare","black","ball","medium","-1","0","0","0",TRUE,NA,99,"2",40,NA
"Qulbutoké",202,"Qulbutoké","wobbuffet",1.3,28.5,190,33,58,33,58,33,405,45,70,"Psychic","Psychic",NA,"cave","blue","blob","medium","4","1","0","0",TRUE,360,100,"2",20,NA
"Girafarig",203,"Girafarig","girafarig",1.5,41.5,70,80,65,90,65,85,455,60,70,"Normal~Psychic","Normal","Psychic","grassland","yellow","quadruped","medium","4","1","0","0",TRUE,NA,101,"2",20,NA
"Pomdepik",204,"Pomdepik","pineco",0.61,7.2,50,65,90,35,35,15,290,190,70,"Bug","Bug",NA,"forest","gray","ball","medium","4","0","0","0",FALSE,NA,102,"2",20,56
"Foretress",205,"Foretress","forretress",1.19,125.8,75,90,140,60,60,40,465,75,70,"Bug~Steel","Bug","Steel","forest","purple","ball","medium","4","0","0","0",TRUE,204,102,"2",20,57
"Insolourdo",206,"Insolourdo","dunsparce",1.5,14,100,70,70,65,65,45,415,190,70,"Normal","Normal",NA,"cave","yellow","squiggle","medium","4","0","0","0",TRUE,NA,103,"2",20,NA
"Scorplane",207,"Scorplane","gligar",1.09,64.8,65,75,105,35,65,85,430,60,70,"Ground~Flying","Ground","Flying","mountain","purple","wings","medium-slow","4","1","0","0",FALSE,NA,104,"2",20,NA
"Steelix",208,"Steelix","steelix",9.19,400,75,85,200,55,65,30,510,25,70,"Steel~Ground","Steel","Ground","cave","gray","squiggle","medium","4","1","0","0",TRUE,95,41,"2",25,176
"Snubbull",209,"Snubbull","snubbull",0.61,7.8,60,80,50,40,40,30,300,190,70,"Fairy","Fairy",NA,"urban","pink","humanoid","fast","6","0","0","0",FALSE,NA,105,"2",20,NA
"Granbull",210,"Granbull","granbull",1.4,48.7,90,120,75,60,60,45,450,75,70,"Fairy","Fairy",NA,"urban","purple","upright","fast","6","0","0","0",TRUE,209,105,"2",20,NA
"Qwilfish",211,"Qwilfish","qwilfish",0.51,3.9,65,95,75,55,55,85,430,45,70,"Water~Poison","Water","Poison","sea","gray","fish","medium","4","0","0","0",TRUE,NA,106,"2",20,NA
"Cizayox",212,"Cizayox","scizor",1.8,118,70,130,100,55,80,65,500,25,70,"Bug~Steel","Bug","Steel","grassland","red","bug-wings","medium","4","1","0","0",TRUE,123,58,"2",25,189
"Caratroc",213,"Caratroc","shuckle",0.61,20.5,20,10,230,10,230,5,505,190,70,"Bug~Rock","Bug","Rock","mountain","yellow","armor","medium-slow","4","0","0","0",TRUE,NA,107,"2",20,NA
"Scarhino",214,"Scarhino","heracross",1.5,54,80,125,75,40,95,85,500,45,70,"Bug~Fighting","Bug","Fighting","forest","blue","humanoid","slow","4","1","0","0",TRUE,NA,108,"2",25,NA
"Farfuret",215,"Farfuret","sneasel",0.89,28,55,95,55,35,75,115,430,60,35,"Dark~Ice","Dark","Ice","forest","black","upright","medium-slow","4","1","0","0",FALSE,NA,109,"2",20,181
"Teddiursa",216,"Teddiursa","teddiursa",0.61,8.8,60,80,50,50,50,40,330,120,70,"Normal","Normal",NA,"mountain","brown","upright","medium","4","0","0","0",FALSE,NA,110,"2",20,NA
"Ursaring",217,"Ursaring","ursaring",1.8,125.8,90,130,75,75,75,55,500,60,70,"Normal","Normal",NA,"mountain","brown","upright","medium","4","1","0","0",TRUE,216,110,"2",20,NA
"Limagma",218,"Limagma","slugma",0.71,35,40,40,40,70,40,20,250,190,70,"Fire","Fire",NA,"mountain","red","squiggle","medium","4","0","0","0",FALSE,NA,111,"2",20,NA
"Volcaropod",219,"Volcaropod","magcargo",0.79,55,50,50,120,80,80,30,410,75,70,"Fire~Rock","Fire","Rock","mountain","red","squiggle","medium","4","0","0","0",TRUE,218,111,"2",20,NA
"Marcacrin",220,"Marcacrin","swinub",0.41,6.5,50,50,40,30,30,50,250,225,70,"Ice~Ground","Ice","Ground","cave","brown","quadruped","slow","4","0","0","0",FALSE,NA,112,"2",20,NA
"Cochignon",221,"Cochignon","piloswine",1.09,55.8,100,100,80,60,60,50,450,75,70,"Ice~Ground","Ice","Ground","cave","brown","quadruped","slow","4","1","0","0",FALSE,220,112,"2",20,NA
"Corayon",222,"Corayon","corsola",0.61,5,55,55,85,65,85,35,380,60,70,"Water~Rock","Water","Rock","sea","pink","armor","fast","6","0","0","0",TRUE,NA,113,"2",20,NA
"Rémoraid",223,"Rémoraid","remoraid",0.61,12,35,65,35,65,35,65,300,190,70,"Water","Water",NA,"sea","gray","fish","medium","4","0","0","0",FALSE,NA,114,"2",20,NA
"Octillery",224,"Octillery","octillery",0.89,28.5,75,105,75,105,75,45,480,75,70,"Water","Water",NA,"sea","red","tentacles","medium","4","1","0","0",TRUE,223,114,"2",20,NA
"Cadoizo",225,"Cadoizo","delibird",0.89,16,45,55,45,65,45,75,330,45,70,"Ice~Flying","Ice","Flying","mountain","red","wings","fast","4","0","0","0",TRUE,NA,115,"2",20,NA
"Démanta",226,"Démanta","mantine",2.11,220,65,40,70,80,140,70,465,25,70,"Water~Flying","Water","Flying","sea","purple","wings","slow","4","0","0","0",TRUE,458,116,"2",25,NA
"Airmure",227,"Airmure","skarmory",1.7,50.5,65,80,140,40,70,70,465,25,70,"Steel~Flying","Steel","Flying","rough-terrain","gray","wings","slow","4","0","0","0",TRUE,NA,117,"2",25,NA
"Malosse",228,"Malosse","houndour",0.61,10.8,45,60,30,80,50,65,330,120,35,"Dark~Fire","Dark","Fire","rough-terrain","black","quadruped","slow","4","0","0","0",FALSE,NA,118,"2",20,NA
"Démolosse",229,"Démolosse","houndoom",1.4,35,75,90,50,110,80,95,500,45,35,"Dark~Fire","Dark","Fire","rough-terrain","black","quadruped","slow","4","1","0","0",TRUE,228,118,"2",20,NA
"Hyporoi",230,"Hyporoi","kingdra",1.8,152,75,95,95,95,95,85,540,45,70,"Water~Dragon","Water","Dragon","sea","blue","blob","medium","4","0","0","0",TRUE,117,54,"2",20,NA
"Phanpy",231,"Phanpy","phanpy",0.51,33.5,90,60,60,40,40,40,330,120,70,"Ground","Ground",NA,"rough-terrain","blue","quadruped","medium","4","0","0","0",FALSE,NA,119,"2",20,NA
"Donphan",232,"Donphan","donphan",1.09,120,90,120,120,60,60,50,500,60,70,"Ground","Ground",NA,"rough-terrain","gray","quadruped","medium","4","1","0","0",TRUE,231,119,"2",20,NA
"Porygon2",233,"Porygon2","porygon2",0.61,32.5,85,80,90,105,95,60,515,45,70,"Normal","Normal",NA,"urban","red","legs","medium","-1","0","0","0",FALSE,137,68,"2",20,NA
"Cerfrousse",234,"Cerfrousse","stantler",1.4,71.2,73,95,62,85,65,85,465,45,70,"Normal","Normal",NA,"forest","brown","quadruped","slow","4","0","0","0",TRUE,NA,120,"2",20,NA
"Queulorior",235,"Queulorior","smeargle",1.19,58,55,20,35,20,45,75,250,45,70,"Normal","Normal",NA,"urban","white","upright","fast","4","0","0","0",TRUE,NA,121,"2",20,NA
"Débugant",236,"Débugant","tyrogue",0.71,21,35,35,35,35,35,35,210,75,70,"Fighting","Fighting",NA,"urban","purple","humanoid","medium","0","0","1","0",FALSE,NA,47,"2",25,NA
"Kapoera",237,"Kapoera","hitmontop",1.4,48,50,95,95,35,110,70,455,45,70,"Fighting","Fighting",NA,"urban","brown","upright","medium","0","0","0","0",TRUE,236,47,"2",25,NA
"Lippouti",238,"Lippouti","smoochum",0.41,6,45,30,15,85,65,65,305,45,70,"Ice~Psychic","Ice","Psychic","urban","pink","humanoid","medium","8","0","1","0",FALSE,NA,59,"2",25,NA
"Élekid",239,"Élekid","elekid",0.61,23.5,45,63,37,65,55,95,360,45,70,"Electric","Electric",NA,"grassland","yellow","humanoid","medium","2","0","1","0",FALSE,NA,60,"2",25,NA
"Magby",240,"Magby","magby",0.71,21.4,45,75,37,70,55,83,365,45,70,"Fire","Fire",NA,"mountain","red","upright","medium","2","0","1","0",FALSE,NA,61,"2",25,NA
"Écrémeuh",241,"Écrémeuh","miltank",1.19,75.5,95,80,105,40,70,100,490,45,70,"Normal","Normal",NA,"grassland","pink","upright","slow","8","0","0","0",TRUE,NA,122,"2",20,NA
"Leuphorie",242,"Leuphorie","blissey",1.5,46.8,255,10,10,75,135,55,540,30,140,"Normal","Normal",NA,"urban","pink","humanoid","fast","8","0","0","0",TRUE,113,51,"2",40,NA
"Raikou",243,"Raikou","raikou",1.91,178,90,85,75,115,100,115,580,3,35,"Electric","Electric",NA,"grassland","yellow","quadruped","slow","-1","0","0","0",TRUE,NA,123,"2",80,NA
"Entei",244,"Entei","entei",2.11,198,115,115,85,90,75,100,580,3,35,"Fire","Fire",NA,"grassland","brown","quadruped","slow","-1","0","0","0",TRUE,NA,124,"2",80,NA
"Suicune",245,"Suicune","suicune",2.01,187,100,75,115,90,115,85,580,3,35,"Water","Water",NA,"grassland","blue","quadruped","slow","-1","0","0","0",TRUE,NA,125,"2",80,NA
"Embrylex",246,"Embrylex","larvitar",0.61,72,50,64,50,45,50,41,300,45,35,"Rock~Ground","Rock","Ground","mountain","green","upright","slow","4","0","0","0",FALSE,NA,126,"2",40,79
"Ymphect",247,"Ymphect","pupitar",1.19,152,70,84,70,65,70,51,410,45,35,"Rock~Ground","Rock","Ground","mountain","gray","squiggle","slow","4","0","0","0",FALSE,246,126,"2",40,80
"Tyranocif",248,"Tyranocif","tyranitar",2.01,202,100,134,110,95,100,61,600,45,35,"Rock~Dark","Rock","Dark","mountain","green","upright","slow","4","0","0","0",TRUE,247,126,"2",40,81
"Lugia",249,"Lugia","lugia",5.21,216,106,90,130,90,154,110,680,3,0,"Psychic~Flying","Psychic","Flying","rare","white","wings","slow","-1","0","0","0",TRUE,NA,127,"2",120,NA
"Ho-Oh",250,"Ho-Oh","ho-oh",3.81,199,106,130,90,110,154,90,680,3,0,"Fire~Flying","Fire","Flying","rare","red","wings","slow","-1","0","0","0",TRUE,NA,128,"2",120,NA
"Celebi",251,"Celebi","celebi",0.61,5,100,100,100,100,100,100,600,45,100,"Psychic~Grass","Psychic","Grass","forest","green","humanoid","medium-slow","-1","0","0","0",TRUE,NA,129,"2",120,NA
"Arcko",252,"Arcko","treecko",0.51,5,40,45,35,65,55,70,310,45,70,"Grass","Grass",NA,"forest","green","upright","medium-slow","1","0","0","0",FALSE,NA,130,"3",20,130
"Massko",253,"Massko","grovyle",0.89,21.6,50,65,45,85,65,95,405,45,70,"Grass","Grass",NA,"forest","green","upright","medium-slow","1","0","0","0",FALSE,252,130,"3",20,131
"Jungko",254,"Jungko","sceptile",1.7,52.2,70,85,65,105,85,120,530,45,70,"Grass","Grass",NA,"forest","green","upright","medium-slow","1","0","0","0",TRUE,253,130,"3",20,132
"Poussifeu",255,"Poussifeu","torchic",0.41,2.5,45,60,40,70,50,45,310,45,70,"Fire","Fire",NA,"grassland","red","legs","medium-slow","1","1","0","0",FALSE,NA,131,"3",20,NA
"Galifeu",256,"Galifeu","combusken",0.89,19.5,60,85,60,85,60,55,405,45,70,"Fire~Fighting","Fire","Fighting","grassland","red","upright","medium-slow","1","1","0","0",FALSE,255,131,"3",20,NA
"Braségali",257,"Braségali","blaziken",1.91,52,80,120,70,110,70,80,530,45,70,"Fire~Fighting","Fire","Fighting","grassland","red","upright","medium-slow","1","1","0","0",TRUE,256,131,"3",20,NA
"Gobou",258,"Gobou","mudkip",0.41,7.6,50,70,50,50,50,40,310,45,70,"Water","Water",NA,"waters-edge","blue","quadruped","medium-slow","1","0","0","0",FALSE,NA,132,"3",20,NA
"Flobio",259,"Flobio","marshtomp",0.71,28,70,85,70,60,70,50,405,45,70,"Water~Ground","Water","Ground","waters-edge","blue","upright","medium-slow","1","0","0","0",FALSE,258,132,"3",20,NA
"Laggron",260,"Laggron","swampert",1.5,81.9,100,110,90,85,90,60,535,45,70,"Water~Ground","Water","Ground","waters-edge","blue","upright","medium-slow","1","0","0","0",TRUE,259,132,"3",20,NA
"Medhyèna",261,"Medhyèna","poochyena",0.51,13.6,35,55,35,30,30,35,220,255,70,"Dark","Dark",NA,"grassland","gray","quadruped","medium","4","0","0","0",FALSE,NA,133,"3",15,NA
"Grahyèna",262,"Grahyèna","mightyena",0.99,37,70,90,70,60,60,70,420,127,70,"Dark","Dark",NA,"grassland","gray","quadruped","medium","4","0","0","0",TRUE,261,133,"3",15,NA
"Zigzaton",263,"Zigzaton","zigzagoon",0.41,17.5,38,30,41,30,41,60,240,255,70,"Normal","Normal",NA,"grassland","brown","quadruped","medium","4","0","0","0",FALSE,NA,134,"3",15,NA
"Linéon",264,"Linéon","linoone",0.51,32.5,78,70,61,50,61,100,420,90,70,"Normal","Normal",NA,"grassland","white","quadruped","medium","4","0","0","0",TRUE,263,134,"3",15,NA
"Chenipotte",265,"Chenipotte","wurmple",0.3,3.6,45,45,35,20,30,20,195,255,70,"Bug","Bug",NA,"forest","red","squiggle","medium","4","0","0","0",FALSE,NA,135,"3",15,NA
"Armulys",266,"Armulys","silcoon",0.61,10,50,35,55,25,25,15,205,120,70,"Bug","Bug",NA,"forest","white","ball","medium","4","0","0","0",FALSE,265,135,"3",15,NA
"Charmillon",267,"Charmillon","beautifly",0.99,28.4,60,70,50,90,50,65,385,45,70,"Bug~Flying","Bug","Flying","forest","yellow","bug-wings","medium","4","1","0","0",TRUE,266,135,"3",15,NA
"Blindalys",268,"Blindalys","cascoon",0.71,11.5,50,35,55,25,25,15,205,120,70,"Bug","Bug",NA,"forest","purple","ball","medium","4","0","0","0",FALSE,265,135,"3",15,NA
"Papinox",269,"Papinox","dustox",1.19,31.6,60,50,70,50,90,65,385,45,70,"Bug~Poison","Bug","Poison","forest","green","bug-wings","medium","4","1","0","0",TRUE,268,135,"3",15,NA
"Nénupiot",270,"Nénupiot","lotad",0.51,2.6,40,30,30,40,50,30,220,255,70,"Water~Grass","Water","Grass","waters-edge","green","armor","medium-slow","4","0","0","0",FALSE,NA,136,"3",15,NA
"Lombre",271,"Lombre","lombre",1.19,32.5,60,50,50,60,70,50,340,120,70,"Water~Grass","Water","Grass","waters-edge","green","humanoid","medium-slow","4","0","0","0",FALSE,270,136,"3",15,NA
"Ludicolo",272,"Ludicolo","ludicolo",1.5,55,80,70,70,90,100,70,480,45,70,"Water~Grass","Water","Grass","waters-edge","green","humanoid","medium-slow","4","1","0","0",TRUE,271,136,"3",15,NA
